2026-02-08 23:01:26 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.620)
2026-02-08 23:01:26 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:26 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.659)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.613)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.659)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.677)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.608)
2026-02-08 23:01:27 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.631)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.658)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.681)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.623)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.611)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.646)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.653)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.622)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.659)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.637)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.669)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.641)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.629)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:28 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.624)
2026-02-08 23:01:29 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.652)
2026-02-08 23:01:29 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.641)
2026-02-08 23:01:29 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.669)
2026-02-08 23:01:29 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:29 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:29 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:29 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:30 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:30 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:31 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.657)
2026-02-08 23:01:31 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:31 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:31 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:31 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.621)
2026-02-08 23:01:31 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.626)
2026-02-08 23:01:32 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.670)
2026-02-08 23:01:32 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:32 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.667)
2026-02-08 23:01:32 | CRITICAL | Anomaly Detected     | 151.101.66.132  | ML-based anomaly detection (score: -0.656)
2026-02-08 23:01:33 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.666)
2026-02-08 23:01:33 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.650)
2026-02-08 23:01:35 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.632)
2026-02-08 23:01:35 | HIGH     | ICMP Flood           | 192.168.100.23  | High rate ICMP traffic detected (1000000 pkt/s)
2026-02-08 23:01:37 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.674)
2026-02-08 23:01:37 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.630)
2026-02-08 23:01:37 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.659)
2026-02-08 23:01:37 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.619)
2026-02-08 23:01:37 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.659)
2026-02-08 23:01:37 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:37 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:38 | CRITICAL | Anomaly Detected     | 192.168.100.1   | ML-based anomaly detection (score: -0.662)
2026-02-08 23:01:39 | CRITICAL | Anomaly Detected     | 44.197.141.31   | ML-based anomaly detection (score: -0.637)
2026-02-08 23:01:43 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.674)
2026-02-08 23:01:47 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:48 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:49 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.620)
2026-02-08 23:01:55 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.609)
2026-02-08 23:01:55 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.632)
2026-02-08 23:01:55 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.596)
2026-02-08 23:01:55 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.626)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.642)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.658)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.658)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.602)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.618)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.633)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.619)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.621)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.619)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.641)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.615)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.618)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.635)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.630)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.595)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.620)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.641)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.639)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.615)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.594)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.647)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.641)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.642)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.644)
2026-02-08 23:01:56 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.653)
2026-02-08 23:01:56 | HIGH     | ICMP Flood           | 192.168.100.23  | High rate ICMP traffic detected (1000000 pkt/s)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.717)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.653)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.641)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.637)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.646)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:57 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:01:59 | CRITICAL | Anomaly Detected     | 44.197.141.31   | ML-based anomaly detection (score: -0.637)
2026-02-08 23:02:05 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.606)
2026-02-08 23:02:05 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.642)
2026-02-08 23:02:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.613)
2026-02-08 23:02:07 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.640)
2026-02-08 23:02:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.613)
2026-02-08 23:02:08 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:02:09 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:02:09 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.630)
2026-02-08 23:02:09 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.616)
2026-02-08 23:02:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.631)
2026-02-08 23:02:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.666)
2026-02-08 23:02:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.681)
2026-02-08 23:02:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.652)
2026-02-08 23:02:10 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.640)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.630)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.652)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.640)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:11 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:12 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.657)
2026-02-08 23:02:13 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.637)
2026-02-08 23:02:13 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.648)
2026-02-08 23:02:13 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.637)
2026-02-08 23:02:14 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.657)
2026-02-08 23:02:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.641)
2026-02-08 23:02:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.667)
2026-02-08 23:02:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.637)
2026-02-08 23:02:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.668)
2026-02-08 23:02:15 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.643)
2026-02-08 23:02:16 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:02:18 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.632)
2026-02-08 23:02:18 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.612)
2026-02-08 23:02:18 | CRITICAL | Anomaly Detected     | 47.246.7.203    | ML-based anomaly detection (score: -0.690)
2026-02-08 23:02:19 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.653)
2026-02-08 23:02:19 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.624)
2026-02-08 23:02:19 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.618)
2026-02-08 23:02:19 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.624)
2026-02-08 23:02:20 | CRITICAL | Anomaly Detected     | 44.197.141.31   | ML-based anomaly detection (score: -0.634)
2026-02-08 23:02:20 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.624)
2026-02-08 23:02:20 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.624)
2026-02-08 23:02:20 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.624)
2026-02-08 23:02:20 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.628)
2026-02-08 23:02:22 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.730)
2026-02-08 23:02:25 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.651)
2026-02-08 23:02:25 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.649)
2026-02-08 23:02:25 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.655)
2026-02-08 23:02:26 | CRITICAL | Anomaly Detected     | 192.168.100.23  | ML-based anomaly detection (score: -0.661)
